xeval_RLT_loss,xeval_RLT_video_acc,xeval_RLT_video_f1,xeval_RLT_video_auc,xeval_BOL_loss,xeval_BOL_video_acc,xeval_BOL_video_f1,xeval_BOL_video_auc,epoch,lr,train_loss,train_chunk_acc,train_video_acc,train_chunk_f1,train_video_f1,train_chunk_auc,train_video_auc,test_loss,test_chunk_acc,test_video_acc,test_chunk_f1,test_video_f1,test_chunk_auc,test_video_auc
0.6796696885558199,0.5619834710743802,0.5194454852004495,0.6172131147540983,0.6471053509974926,0.6642411642411642,0.4714492509563978,0.4781854691493246,1,4.9453690018345144e-05,0.5436938355366389,0.7635416666666667,0.7635416666666667,0.744354675041147,0.744354675041147,0.8979230608258929,0.8979230608258929,0.6447344037794298,0.6146044624746451,0.6146044624746451,0.5590422927729447,0.5590422927729447,0.7094067908574448,0.7094067908574448
0.6690482428251219,0.5619834710743802,0.5140562248995983,0.660655737704918,0.6540043874026088,0.6164241164241164,0.4705132163617081,0.4703358890105878,2,4.783863644106502e-05,0.4322792405883471,0.8645833333333334,0.8645833333333334,0.8596491228070176,0.8596491228070176,0.9714835030691964,0.9714835030691964,0.6194888430256997,0.6713995943204868,0.6713995943204868,0.6363777089783282,0.6363777089783282,0.752890077949531,0.752890077949531
0.662870695768309,0.5950413223140496,0.5878345498783455,0.6655737704918033,0.7239375635671764,0.4875259875259875,0.41964726022787485,0.4785140562248996,3,4.522542485937369e-05,0.3380610269804796,0.9333333333333333,0.9333333333333333,0.9322751322751324,0.9322751322751324,0.9917994907924108,0.9917994907924108,0.6037258698094276,0.6957403651115619,0.6957403651115619,0.6775810952214858,0.6775810952214858,0.7587528075042939,0.7587528075042939
0.6511958255009218,0.6033057851239669,0.5986733001658375,0.6724043715846995,0.7778668618546083,0.44386694386694386,0.40183794174698606,0.5039156626506024,4,4.172826515897146e-05,0.24231646632154782,0.9802083333333333,0.9802083333333333,0.9800867927618112,0.9800867927618112,0.9986833844866072,0.9986833844866072,0.5663065362361169,0.7038539553752535,0.7038539553752535,0.6979369502450816,0.6979369502450816,0.7885784119434536,0.7885784119434536
0.6681509578277257,0.5867768595041323,0.5833333333333333,0.659016393442623,0.8126296339335846,0.43347193347193347,0.39417784911123976,0.503723986856517,5,3.7500000000000003e-05,0.18824594567219416,0.9854166666666667,0.9854166666666667,0.9853197541058812,0.9853197541058812,0.9999869210379464,0.9999869210379464,0.5875312849398582,0.7221095334685599,0.7221095334685599,0.7096821337230544,0.7096821337230544,0.7831615801294755,0.7831615801294755
0.6641547452073452,0.628099173553719,0.6214807090719499,0.6816939890710383,0.8317383848548927,0.4365904365904366,0.39292567064083456,0.4814622124863088,6,3.272542485937369e-05,0.15570982893308002,0.9989583333333333,0.9989583333333333,0.9989535359040741,0.9989535359040741,1.0,1.0,0.551887228604286,0.7221095334685599,0.7221095334685599,0.7176438619594072,0.7176438619594072,0.8039371119038181,0.8039371119038181
0.6905140132327711,0.5950413223140496,0.5858769295243417,0.6491803278688524,0.7962236782834089,0.48336798336798337,0.4204362662205817,0.4949251551661191,7,2.761321158169134e-05,0.14519297716518242,0.996875,0.996875,0.9968597040052949,0.9968597040052949,0.9999869210379464,0.9999869210379464,0.5692767452809119,0.716024340770791,0.716024340770791,0.704588255435713,0.704588255435713,0.8005350772889417,0.8005350772889417
0.676286694370518,0.6115702479338843,0.6106128038343033,0.6636612021857924,0.977493914955619,0.37733887733887733,0.3517862948176696,0.4822836801752465,8,2.238678841830867e-05,0.10867130979895592,1.0,1.0,1.0,1.0,1.0,1.0,0.5470585577910946,0.7322515212981744,0.7322515212981744,0.728088648215002,0.728088648215002,0.8090897080195535,0.8090897080195535
0.6824578112068255,0.6033057851239669,0.6,0.6543715846994536,0.8874392012161302,0.4230769230769231,0.3837568314683256,0.49215954728002914,9,1.7274575140626318e-05,0.10533993331094584,1.0,1.0,1.0,1.0,1.0,1.0,0.5513188550549168,0.7281947261663286,0.7281947261663286,0.7250166500166499,0.7250166500166499,0.8067446161976483,0.8067446161976483
0.6898931623859839,0.5950413223140496,0.5910188314823757,0.6527322404371585,0.8807093090805653,0.43243243243243246,0.39061651623082816,0.489184008762322,10,1.2500000000000006e-05,0.1076758244385322,1.0,1.0,1.0,1.0,1.0,1.0,0.5670850526901984,0.718052738336714,0.718052738336714,0.7087737192154863,0.7087737192154863,0.8077850442594794,0.8077850442594794
0.6918131344574542,0.6198347107438017,0.6153952459922609,0.659016393442623,0.8614022341206391,0.4365904365904366,0.39145191409897295,0.49549105512960934,11,8.271734841028553e-06,0.10019224099814891,1.0,1.0,1.0,1.0,1.0,1.0,0.5557621073338294,0.718052738336714,0.718052738336714,0.7087737192154863,0.7087737192154863,0.8148698639186154,0.8148698639186154
0.6850203949311549,0.6198347107438017,0.6121794871794872,0.6691256830601093,0.829027818229336,0.45426195426195426,0.40335482224687325,0.49029755385177065,12,4.7745751406263165e-06,0.09911366812884807,1.0,1.0,1.0,1.0,1.0,1.0,0.5572654859673593,0.7241379310344828,0.7241379310344828,0.7156862745098038,0.7156862745098038,0.8179746333729686,0.8179746333729686
0.6876165800966507,0.6033057851239669,0.6019736842105263,0.6603825136612023,0.9021526657881336,0.4189189189189189,0.3800081396139794,0.4847572106608251,13,2.1613635589349756e-06,0.09519420464833578,1.0,1.0,1.0,1.0,1.0,1.0,0.5445801904124599,0.7342799188640974,0.7342799188640974,0.729126559714795,0.729126559714795,0.8168681463865768,0.8168681463865768
0.6959535420433549,0.5702479338842975,0.5702185792349727,0.6420765027322404,0.9766579695247315,0.3700623700623701,0.3477309344790548,0.48921139101862,14,5.463099816548579e-07,0.08899230870107809,1.0,1.0,1.0,1.0,1.0,1.0,0.538571463477227,0.7302231237322515,0.7302231237322515,0.727188000582496,0.727188000582496,0.8172975293962212,0.8172975293962212
0.6851470659463859,0.5702479338842975,0.5678571428571428,0.6579234972677596,0.9019266209388906,0.4158004158004158,0.37906115623506925,0.48604417670682726,15,5e-05,0.09536963577071826,1.0,1.0,1.0,1.0,1.0,1.0,0.5428581689634631,0.7322515212981744,0.7322515212981744,0.7275148226308914,0.7275148226308914,0.8169176905799973,0.8169176905799973
